date,year,month,segment_label,passengers,commercial_units,direct_flights,destinations,passengers_yoy_pct,direct_flights_yoy_pct
2000-05-01,2000,5,National,2827265,3065594,55111,2,2.7,2.88
2000-06-01,2000,6,International,6226898,7591749,89857,84,11.03,6.35
2000-06-01,2000,6,National,2881989,3083103,51317,2,-1.43,-5.22
2000-07-01,2000,7,International,7001895,8455473,94533,92,11.27,5.52
2000-07-01,2000,7,National,3046270,3237773,53385,2,2.21,-4.52
2000-08-01,2000,8,International,6900650,8258630,93011,92,7.8,5.38
2000-08-01,2000,8,National,2705803,2910442,50049,2,-0.97,-0.29
2000-09-01,2000,9,International,6609426,8085509,91499,89,12.39,7.73
2000-09-01,2000,9,National,2788461,3042494,52156,2,-0.11,-3.81
2000-10-01,2000,10,International,5979191,7511685,88000,92,8.81,6.06
2000-10-01,2000,10,National,2748979,3010759,52665,2,2.35,-1.28
2000-11-01,2000,11,International,4778004,6244096,81256,87,5.79,5.07
2000-11-01,2000,11,National,2501221,2751622,48845,2,-1.45,0.72
2000-12-01,2000,12,International,4677403,6041837,79571,85,15.09,5.4
2000-12-01,2000,12,National,2615152,2893409,48918,2,2.11,-0.09
2001-01-01,2001,1,International,4815627,5998194,82893,85,9.31,3.49
2001-01-01,2001,1,National,2565824,2820935,50857,2,1.64,3.48
2001-02-01,2001,2,International,4789503,6051429,77267,83,5.14,-1.72
2001-02-01,2001,2,National,2442017,2681832,47063,2,-3.42,-3.23
2001-03-01,2001,3,International,5710116,7211475,87483,85,5.57,1.67
2001-03-01,2001,3,National,2723302,3008087,51260,2,-3.74,-5.55
2001-04-01,2001,4,International,6473937,7870380,88557,90,4.62,0.24
2001-04-01,2001,4,National,2828754,3081778,48462,2,0.11,-5.27
2001-05-01,2001,5,International,6291027,7682740,92080,88,2.75,-0.24
2001-05-01,2001,5,National,2686896,2915675,49811,2,-4.96,-9.62
2001-06-01,2001,6,International,6647623,8043613,89884,89,6.76,0.03
2001-06-01,2001,6,National,2847625,3096288,48277,2,-1.19,-5.92
2001-07-01,2001,7,International,7290396,8641723,94526,93,4.12,-0.01
2001-07-01,2001,7,National,2799041,3038370,49680,2,-8.12,-6.94
2001-08-01,2001,8,International,7244496,8490396,93012,94,4.98,0.0
2001-08-01,2001,8,National,2495191,2720160,46333,2,-7.78,-7.42
2001-09-01,2001,9,International,6232074,7478852,86175,91,-5.71,-5.82
2001-09-01,2001,9,National,2481442,2720992,45358,2,-11.01,-13.03
2001-10-01,2001,10,International,5101478,6526588,82356,86,-14.68,-6.41
2001-10-01,2001,10,National,2325854,2583344,46945,2,-15.39,-10.86
2001-11-01,2001,11,International,4110823,5510159,72127,84,-13.96,-11.23
2001-11-01,2001,11,National,2141538,2381851,43970,2,-14.38,-9.98
2001-12-01,2001,12,International,4244844,5553398,67851,87,-9.25,-14.73
2001-12-01,2001,12,National,2124757,2350835,40356,2,-18.75,-17.5
2002-01-01,2002,1,International,4497010,5679071,74750,84,-6.62,-9.82
2002-01-01,2002,1,National,2171629,2398807,43772,2,-15.36,-13.93
2002-02-01,2002,2,International,4640011,5884077,70189,85,-3.12,-9.16
2002-02-01,2002,2,National,2117689,2333077,40428,2,-13.28,-14.1
2002-03-01,2002,3,International,5717457,7196880,79585,88,0.13,-9.03
2002-03-01,2002,3,National,2418284,2674233,45137,2,-11.2,-11.94
2002-04-01,2002,4,International,6028664,7403649,82238,89,-6.88,-7.14
2002-04-01,2002,4,National,2558494,2793380,46338,2,-9.55,-4.38
2002-05-01,2002,5,International,6120984,7421731,87402,89,-2.7,-5.08
2002-05-01,2002,5,National,2484380,2687636,46533,2,-7.54,-6.58
2002-06-01,2002,6,International,6346177,7726231,83470,90,-4.53,-7.14
2002-06-01,2002,6,National,2649501,2866743,45602,2,-6.96,-5.54
2002-07-01,2002,7,International,7087632,8485424,91852,93,-2.78,-2.83
2002-07-01,2002,7,National,2816371,3049922,50632,2,0.62,1.92
2002-08-01,2002,8,International,7333215,8618167,90104,95,1.22,-3.13
2002-08-01,2002,8,National,2565075,2764159,45381,2,2.8,-2.05
2002-09-01,2002,9,International,6671767,8009734,85746,91,7.06,-0.5
2002-09-01,2002,9,National,2462133,2679782,45252,2,-0.78,-0.23
2002-10-01,2002,10,International,6162200,7675804,85979,90,20.79,4.4
2002-10-01,2002,10,National,2581803,2820296,46761,2,11.0,-0.39
2002-11-01,2002,11,International,4798026,6290696,75322,87,16.72,4.43
2002-11-01,2002,11,National,2260952,2464109,40094,2,5.58,-8.82
2002-12-01,2002,12,International,5022753,6422773,77553,88,18.33,14.3
2002-12-01,2002,12,National,2438254,2665093,41489,2,14.75,2.81
2003-01-01,2003,1,International,4971655,6329301,79785,87,10.55,6.74
2003-01-01,2003,1,National,2284619,2516955,42914,2,5.2,-1.96
2003-02-01,2003,2,International,4900151,6215916,73528,88,5.61,4.76
2003-02-01,2003,2,National,2034019,2264040,39078,2,-3.95,-3.34
2003-03-01,2003,3,International,5515776,7152961,83152,87,-3.53,4.48
2003-03-01,2003,3,National,2316796,2569867,43587,2,-4.2,-3.43
2003-04-01,2003,4,International,5645216,7076016,78418,90,-6.36,-4.65
2003-04-01,2003,4,National,2335746,2582374,41540,2,-8.71,-10.35
